OACI,Aeropuerto,Latitud,Longitud,Fecha,METAR,FECHA_HORA_REPORTE
SKBO,Bogotá / El Dorado,4.70306,-74.13833,06-05-2026 15:05:00,SKBO 061500Z 10007KT 040V190 9999 SCT040 19/10 Q1030 NOSIG =,2026-05-06 15:05:00
SKBO,Bogotá / El Dorado,4.70306,-74.13833,06-05-2026 16:05:00,SKBO 061600Z 11010KT 040V160 9999 SCT040 19/08 Q1030 NOSIG =,2026-05-06 16:05:00
SKBO,Bogotá / El Dorado,4.70306,-74.13833,06-05-2026 17:05:00,SKBO 061700Z 12013KT 080V150 9999 SCT040 19/07 Q1029 NOSIG =,2026-05-06 17:05:00
SKBO,Bogotá / El Dorado,4.70306,-74.13833,06-05-2026 18:05:00,SKBO 061800Z 12010G22KT 050V150 9999 FEW020 SCT050 20/08 Q1028 NOSIG =,2026-05-06 18:05:00
SKBO,Bogotá / El Dorado,4.70306,-74.13833,06-05-2026 19:05:00,SKBO 061900Z 12011KT 9999 FEW020 SCT060 20/08 Q1027 NOSIG =,2026-05-06 19:05:00
SKBO,Bogotá / El Dorado,4.70306,-74.13833,06-05-2026 20:05:00,SKBO 062000Z 14010KT 100V190 9999 FEW020 SCT050 20/08 Q1026 NOSIG =,2026-05-06 20:05:00
SKBO,Bogotá / El Dorado,4.70306,-74.13833,06-05-2026 21:05:00,SKBO 062100Z 08006KT 030V160 9999 SCT060 20/08 Q1026 NOSIG =,2026-05-06 21:05:00
SKBO,Bogotá / El Dorado,4.70306,-74.13833,06-05-2026 22:05:00,SKBO 062200Z 10007KT 050V140 9999 FEW040 19/07 Q1026 NOSIG =,2026-05-06 22:05:00
SKBO,Bogotá / El Dorado,4.70306,-74.13833,06-05-2026 23:05:00,SKBO 062300Z 13008KT 080V150 9999 FEW040 18/07 Q1027 NOSIG =,2026-05-06 23:05:00
SKBO,Bogotá / El Dorado,4.70306,-74.13833,07-05-2026 00:05:00,SKBO 070000Z 12005KT 050V150 9999 FEW050 17/07 Q1027 NOSIG =,2026-05-07 00:05:00
SKBO,Bogotá / El Dorado,4.70306,-74.13833,07-05-2026 01:05:00,SKBO 070100Z 13007KT 100V160 9999 NSC 15/08 Q1028 NOSIG =,2026-05-07 01:05:00
SKBO,Bogotá / El Dorado,4.70306,-74.13833,07-05-2026 02:05:00,SKBO 070200Z 11004KT 050V140 9999 FEW040 15/07 Q1029 NOSIG =,2026-05-07 02:05:00
SKBO,Bogotá / El Dorado,4.70306,-74.13833,07-05-2026 03:05:00,SKBO 070300Z 07004KT 050V120 9999 FEW040 13/08 Q1030 NOSIG =,2026-05-07 03:05:00
SKBO,Bogotá / El Dorado,4.70306,-74.13833,07-05-2026 04:05:00,SKBO 070400Z 02003KT 9999 FEW040 11/10 Q1030 NOSIG =,2026-05-07 04:05:00
SKBO,Bogotá / El Dorado,4.70306,-74.13833,07-05-2026 05:05:00,SKBO 070500Z 04002KT 9999 BKN040 11/10 Q1030 NOSIG =,2026-05-07 05:05:00
SKBO,Bogotá / El Dorado,4.70306,-74.13833,07-05-2026 06:05:00,SKBO 070600Z 06004KT 030V100 9999 BKN050 12/11 Q1029 NOSIG =,2026-05-07 06:05:00
SKBO,Bogotá / El Dorado,4.70306,-74.13833,07-05-2026 07:05:00,SKBO 070700Z VRB02KT 9999 SCT060 11/10 Q1028 NOSIG =,2026-05-07 07:05:00
SKBO,Bogotá / El Dorado,4.70306,-74.13833,07-05-2026 08:05:00,SKBO 070800Z 35003KT 300V110 9999 FEW030 SCT050 BKN080 11/10 Q1028 NOSIG =,2026-05-07 08:05:00
SKBO,Bogotá / El Dorado,4.70306,-74.13833,07-05-2026 09:05:00,SKBO 070900Z VRB03KT 9999 VCSH FEW030 BKN050 OVC080 12/11 Q1028 NOSIG RMK VCSH /SE =,2026-05-07 09:05:00
SKBO,Bogotá / El Dorado,4.70306,-74.13833,07-05-2026 10:05:00,SKBO 071000Z 08003KT 050V150 9999 FEW030 BKN080 11/11 Q1028 NOSIG =,2026-05-07 10:05:00
SKBO,Bogotá / El Dorado,4.70306,-74.13833,07-05-2026 10:05:00,SKBO 071031Z 07004KT 030V120 9999 VCFG FEW040 BKN060 11/11 Q1028 NOSIG RMK VCFG NW/N =,2026-05-07 10:05:00
