FECHA_REPORTE,dir_sin,dir_cos,intensidad_kt,rafaga_kt,temperatura,rocio
2026-05-17 19:00:00,0.8300730253659773,0.8400807460163265,-1.1960159343742864,0.0,0.5623458843613123,1.2907037358260447
2026-05-17 20:00:00,1.283012764931252,0.21253123881110736,-1.4654814314956126,0.0,0.7609641796506736,0.7076678719532945
2026-05-17 21:00:00,1.5240169664894487,-0.5572721928247623,-1.6451250962431636,0.0,0.9595824749400349,0.7076678719532945
2026-05-17 22:00:00,1.5240169664894487,-0.5572721928247623,-1.6451250962431636,0.0,0.7609641796506736,0.7076678719532945
2026-05-17 23:00:00,1.5240169664894487,-0.5572721928247623,-1.6451250962431636,0.0,0.5623458843613123,0.9991858038896696
2026-05-18 00:00:00,-2.2312427170505647,0.21253123881110736,-1.734946928616939,0.0,0.16510929378258973,0.7076678719532945
2026-05-18 01:00:00,-0.47411497605965675,1.3919385210082629,-1.9145905933644898,0.0,-0.4307455920854941,0.7076678719532945
2026-05-18 02:00:00,-0.47411497605965675,1.3919385210082629,-1.9145905933644898,0.0,-0.4307455920854941,0.41614994001691935
2026-05-18 03:00:00,-0.12179040357283258,1.3561028275475837,-1.9145905933644898,0.0,-0.8279821826642166,0.12463200808054418
2026-05-18 04:00:00,1.5240169664894487,-0.5572721928247623,-1.8247687609907144,0.0,-0.2321272967961328,0.7076678719532945
2026-05-18 05:00:00,1.5240169664894487,-0.5572721928247623,-1.9145905933644898,0.0,-0.4307455920854941,0.7076678719532945
2026-05-18 06:00:00,0.21982896506381508,1.249684596577613,-1.734946928616939,0.0,-0.4307455920854941,0.7076678719532945
2026-05-18 07:00:00,-1.4885931503213168,1.0759172921961493,-1.8247687609907144,0.0,-0.6293638873748554,0.41614994001691935
2026-05-18 08:00:00,-1.4885931503213168,1.0759172921961493,-2.0044124257382654,0.0,-0.6293638873748554,0.41614994001691935
2026-05-18 09:00:00,0.8300730253659773,0.8400807460163265,-1.8247687609907144,0.0,-0.4307455920854941,0.7076678719532945
2026-05-18 10:00:00,1.0801557600576053,0.5493407321547665,-1.8247687609907144,0.0,-0.6293638873748554,0.41614994001691935
2026-05-18 11:00:00,0.5403631982020035,1.07591729219615,-1.9145905933644898,0.0,-0.6293638873748554,0.41614994001691935
2026-05-18 12:00:00,1.4324803325444289,-0.16011394799323117,-1.734946928616939,0.0,-0.2321272967961328,0.7076678719532945
2026-05-18 13:00:00,1.4324803325444289,-0.16011394799323117,-1.734946928616939,0.0,0.363727589071951,0.7076678719532945
2026-05-18 14:00:00,1.5240169664894487,-1.3764798939473348,-1.6451250962431636,0.0,0.7609641796506736,0.7076678719532945
2026-05-18 15:00:00,1.5240169664894487,-0.5572721928247623,-1.6451250962431636,0.0,0.7609641796506736,0.7076678719532945
2026-05-18 16:00:00,1.0801557600576053,-2.483092818926864,-1.4654814314956126,0.0,0.9595824749400349,0.7076678719532945
2026-05-18 17:00:00,1.4324803325444289,-1.773638138778866,-1.4654814314956126,0.0,0.7609641796506736,0.9991858038896696
2026-05-18 18:00:00,-0.474114976059656,-3.32569060778036,-1.2858377667480618,0.0,0.7609641796506736,0.9991858038896696
2026-05-18 19:00:00,1.5240169664894487,-1.3764798939473348,-1.4654814314956126,0.0,1.1582007702293962,0.41614994001691935
2026-05-18 20:00:00,1.5240169664894487,-0.5572721928247623,-1.5553032638693882,0.0,0.9595824749400349,0.12463200808054418
2026-05-18 21:00:00,1.283012764931252,0.21253123881110736,-1.2858377667480618,0.0,0.9595824749400349,0.41614994001691935
2026-05-18 22:00:00,1.5240169664894487,-1.3764798939473348,-1.5553032638693882,0.0,0.7609641796506736,0.41614994001691935
2026-05-18 23:00:00,1.5240169664894487,-1.3764798939473348,-1.6451250962431636,0.0,0.5623458843613123,0.12463200808054418
2026-05-19 00:00:00,1.0801557600576053,-2.483092818926864,-1.4654814314956126,0.0,0.363727589071951,0.12463200808054418
2026-05-19 01:00:00,1.0801557600576053,-2.483092818926864,-1.5553032638693882,0.0,0.363727589071951,0.12463200808054418
