dir_sin,dir_cos,intensidad_kt,temperatura,rocio
0.17364817766693033,0.984807753012208,3.0,14.0,6.0
0.49999999999999994,0.8660254037844387,5.0,13.0,7.0
0.9396926207859083,0.3420201433256688,3.0,13.0,7.0
0.49999999999999994,0.8660254037844387,3.0,10.0,7.0
0.49999999999999994,0.8660254037844387,4.0,9.0,7.0
0.3420201433256687,0.9396926207859084,3.0,9.0,7.0
0.766044443118978,0.6427876096865394,4.0,10.0,7.0
0.17364817766693033,0.984807753012208,3.0,7.0,6.0
0.3420201433256687,0.9396926207859084,4.0,6.0,6.0
0.49999999999999994,0.8660254037844387,3.0,7.0,6.0
0.766044443118978,0.6427876096865394,4.0,7.0,7.0
0.766044443118978,0.6427876096865394,4.0,8.0,6.0
0.49999999999999994,0.8660254037844387,3.0,8.0,7.0
0.6427876096865393,0.766044443118978,6.0,13.0,8.0
0.49999999999999994,0.8660254037844387,7.0,15.0,6.0
0.8660254037844387,-0.4999999999999998,4.0,16.0,6.0
1.0,6.123233995736766e-17,9.0,19.0,3.0
0.9396926207859084,-0.3420201433256687,8.0,20.0,2.0
0.8660254037844387,-0.4999999999999998,12.0,20.0,2.0
0.9396926207859084,-0.3420201433256687,10.0,20.0,3.0
0.8660254037844387,-0.4999999999999998,10.0,19.0,3.0
0.8660254037844387,-0.4999999999999998,10.0,19.0,3.0
0.8660254037844387,-0.4999999999999998,10.0,18.0,4.0
0.8660254037844387,-0.4999999999999998,10.0,15.0,5.0
0.8660254037844387,-0.4999999999999998,10.0,14.0,6.0
0.8660254037844387,-0.4999999999999998,9.0,13.0,6.0
1.0,6.123233995736766e-17,6.0,11.0,6.0
0.6427876096865393,0.766044443118978,6.0,10.0,5.0
0.49999999999999994,0.8660254037844387,5.0,9.0,4.0
0.49999999999999994,0.8660254037844387,5.0,9.0,5.0
-0.984807753012208,-0.17364817766693033,4.0,9.0,6.0
-0.9396926207859084,-0.34202014332566855,4.0,7.0,4.0
0.6427876096865393,0.766044443118978,4.0,7.0,5.0
0.49999999999999994,-0.8660254037844387,3.0,7.0,5.0
0.0,1.0,0.0,5.0,5.0
0.8660254037844386,0.5000000000000001,3.0,5.0,5.0
0.49999999999999994,0.8660254037844387,4.0,7.0,5.0
0.49999999999999994,0.8660254037844387,4.0,12.0,7.0
0.8660254037844386,0.5000000000000001,6.0,15.0,7.0
0.49999999999999994,0.8660254037844387,8.0,16.0,7.0
0.8660254037844386,0.5000000000000001,6.0,18.0,7.0
1.0,6.123233995736766e-17,10.0,19.0,5.0
0.8660254037844386,0.5000000000000001,7.0,19.0,5.0
0.984807753012208,0.17364817766693041,7.0,19.0,5.0
0.9396926207859084,-0.3420201433256687,12.0,21.0,5.0
0.8660254037844387,-0.4999999999999998,11.0,20.0,5.0
0.8660254037844387,-0.4999999999999998,11.0,19.0,6.0
0.9396926207859084,-0.3420201433256687,8.0,17.0,6.0
0.766044443118978,0.6427876096865394,5.0,14.0,5.0
0.766044443118978,0.6427876096865394,2.0,12.0,6.0
-0.8660254037844386,0.5000000000000001,3.0,11.0,7.0
-0.8660254037844386,0.5000000000000001,2.0,10.0,7.0
0.49999999999999994,0.8660254037844387,4.0,9.0,6.0
0.6427876096865393,0.766044443118978,4.0,8.0,6.0
0.0,1.0,0.0,7.0,6.0
0.0,1.0,2.0,7.0,6.0
-0.5000000000000004,0.8660254037844384,3.0,5.0,4.0
0.0,1.0,0.0,4.0,4.0
0.8660254037844386,0.5000000000000001,4.0,4.0,4.0
0.6427876096865393,0.766044443118978,4.0,6.0,6.0
0.6427876096865393,0.766044443118978,9.0,9.0,8.0
0.49999999999999994,0.8660254037844387,6.0,11.0,9.0
0.8660254037844386,0.5000000000000001,10.0,15.0,9.0
-0.8660254037844386,0.5000000000000001,7.0,17.0,8.0
-0.5000000000000004,0.8660254037844384,7.0,18.0,8.0
0.984807753012208,-0.1736481776669303,6.0,20.0,7.0
0.8660254037844387,-0.4999999999999998,14.0,21.0,6.0
0.766044443118978,-0.6427876096865394,13.0,20.0,4.0
0.8660254037844387,-0.4999999999999998,8.0,20.0,5.0
1.2246467991473532e-16,-1.0,8.0,19.0,10.0
-0.6427876096865396,0.7660444431189778,6.0,18.0,9.0
-0.3420201433256686,0.9396926207859084,6.0,15.0,11.0
-0.8660254037844386,0.5000000000000001,5.0,12.0,11.0
-0.8660254037844386,0.5000000000000001,4.0,12.0,10.0
-0.6427876096865396,0.7660444431189778,3.0,12.0,11.0
-0.6427876096865396,0.7660444431189778,2.0,11.0,10.0
0.17364817766693033,0.984807753012208,4.0,9.0,7.0
0.17364817766693033,0.984807753012208,4.0,9.0,7.0
0.17364817766693033,0.984807753012208,3.0,8.0,7.0
0.17364817766693033,0.984807753012208,2.0,6.0,5.0
0.17364817766693033,0.984807753012208,2.0,7.0,7.0
0.17364817766693033,0.984807753012208,2.0,5.0,5.0
0.6427876096865393,0.766044443118978,4.0,7.0,6.0
0.6427876096865393,0.766044443118978,2.0,7.0,6.0
0.6427876096865393,0.766044443118978,5.0,8.0,8.0
0.766044443118978,0.6427876096865394,6.0,11.0,9.0
-0.3420201433256686,0.9396926207859084,3.0,15.0,8.0
-0.5000000000000004,0.8660254037844384,4.0,16.0,9.0
0.6427876096865395,-0.7660444431189779,8.0,20.0,7.0
0.6427876096865395,-0.7660444431189779,8.0,20.0,7.0
0.3420201433256689,-0.9396926207859083,8.0,20.0,7.0
