OACI,Aeropuerto,Latitud,Longitud,Fecha,METAR,FECHA_HORA_REPORTE
SKBO,Bogotá / El Dorado,4.70306,-74.13833,16-05-2026 09:05:00,SKBO 160900Z 04005KT 9999 SCT027 13/13 Q1027 NOSIG =,2026-05-16 09:05:00
SKBO,Bogotá / El Dorado,4.70306,-74.13833,16-05-2026 10:05:00,SKBO 161000Z 04005KT 020V080 9999 SCT030 12/12 Q1026 NOSIG =,2026-05-16 10:05:00
SKBO,Bogotá / El Dorado,4.70306,-74.13833,16-05-2026 11:05:00,SKBO 161100Z 03006KT 9999 BKN030 13/12 Q1027 NOSIG =,2026-05-16 11:05:00
SKBO,Bogotá / El Dorado,4.70306,-74.13833,16-05-2026 11:05:00,SKBO 161121Z 04005KT 9999 FEW015 BKN040 13/12 Q1028 WS R14R NOSIG =,2026-05-16 11:05:00
SKBO,Bogotá / El Dorado,4.70306,-74.13833,16-05-2026 12:05:00,SKBO 161200Z 05005KT 9999 FEW015 BKN040 14/12 Q1028 NOSIG =,2026-05-16 12:05:00
SKBO,Bogotá / El Dorado,4.70306,-74.13833,16-05-2026 13:05:00,SKBO 161300Z 05006KT 030V090 9999 SCT020 BKN050 15/12 Q1029 NOSIG =,2026-05-16 13:05:00
SKBO,Bogotá / El Dorado,4.70306,-74.13833,16-05-2026 14:05:00,SKBO 161400Z VRB06KT 9999 FEW015 SCT030 BKN050 16/12 Q1029 NOSIG =,2026-05-16 14:05:00
SKBO,Bogotá / El Dorado,4.70306,-74.13833,16-05-2026 15:05:00,SKBO 161500Z 12007KT 100V160 9999 SCT025 BKN060 17/11 Q1029 WS R14R NOSIG =,2026-05-16 15:05:00
SKBO,Bogotá / El Dorado,4.70306,-74.13833,16-05-2026 16:05:00,SKBO 161600Z 07007KT 030V120 9999 FEW020 SCT035 BKN060 17/11 Q1029 NOSIG =,2026-05-16 16:05:00
SKBO,Bogotá / El Dorado,4.70306,-74.13833,16-05-2026 17:05:00,SKBO 161700Z 09006KT 030V150 9999 FEW020 SCT035 BKN060 18/12 Q1029 NOSIG =,2026-05-16 17:05:00
SKBO,Bogotá / El Dorado,4.70306,-74.13833,16-05-2026 17:05:00,SKBO 161741Z 07006KT 010V140 9999 BKN050 20/11 Q1027 NOSIG =,2026-05-16 17:05:00
SKBO,Bogotá / El Dorado,4.70306,-74.13833,16-05-2026 18:05:00,SKBO 161800Z 07007KT 010V150 9999 BKN050 20/10 Q1027 NOSIG =,2026-05-16 18:05:00
SKBO,Bogotá / El Dorado,4.70306,-74.13833,16-05-2026 19:05:00,SKBO 161900Z 09005KT 020V150 9999 BKN050 20/10 Q1026 NOSIG =,2026-05-16 19:05:00
SKBO,Bogotá / El Dorado,4.70306,-74.13833,16-05-2026 20:05:00,SKBO 162000Z 07005KT 020V150 9999 VCSH BKN050 20/09 Q1025 NOSIG RMK VCSH/E =,2026-05-16 20:05:00
SKBO,Bogotá / El Dorado,4.70306,-74.13833,16-05-2026 21:05:00,SKBO 162100Z 11011KT 050V140 9999 VCSH FEW030 BKN050 19/10 Q1025 NOSIG RMK VCSH/E/SE =,2026-05-16 21:05:00
SKBO,Bogotá / El Dorado,4.70306,-74.13833,16-05-2026 22:05:00,SKBO 162200Z 13010KT 080V150 9999 FEW030 SCT070 18/09 Q1025 NOSIG =,2026-05-16 22:05:00
SKBO,Bogotá / El Dorado,4.70306,-74.13833,16-05-2026 23:05:00,SKBO 162300Z 13008KT 080V150 9999 FEW030 SCT050 17/09 Q1026 NOSIG =,2026-05-16 23:05:00
SKBO,Bogotá / El Dorado,4.70306,-74.13833,17-05-2026 00:05:00,SKBO 170000Z 11006KT 060V150 9999 SCT030 BKN060 16/09 Q1027 NOSIG =,2026-05-17 00:05:00
SKBO,Bogotá / El Dorado,4.70306,-74.13833,17-05-2026 01:05:00,SKBO 170100Z 11006KT 080V140 9999 VCSH FEW040 SCT070 15/10 Q1028 TEMPO DZ RMK VCSH/ E =,2026-05-17 01:05:00
SKBO,Bogotá / El Dorado,4.70306,-74.13833,17-05-2026 02:05:00,SKBO 170200Z 11005KT 080V150 9999 DZ FEW030 SCT060 BKN085 15/10 Q1028 NOSIG =,2026-05-17 02:05:00
SKBO,Bogotá / El Dorado,4.70306,-74.13833,17-05-2026 03:05:00,SKBO 170300Z 10003KT 040V170 9999 -RA FEW030 BKN080 14/12 Q1029 NOSIG =,2026-05-17 03:05:00
SKBO,Bogotá / El Dorado,4.70306,-74.13833,17-05-2026 04:05:00,SKBO 170400Z 10004KT 060V140 9999 DZ FEW030 BKN080 14/12 Q1029 NOSIG=,2026-05-17 04:05:00
SKBO,Bogotá / El Dorado,4.70306,-74.13833,17-05-2026 05:05:00,SKBO 170500Z 03008KT 9999 FEW035 BKN080 13/12 Q1028 REDZ NOSIG =,2026-05-17 05:05:00
SKBO,Bogotá / El Dorado,4.70306,-74.13833,17-05-2026 06:05:00,SKBO 170600Z 04005KT 9999 BKN080 12/11 Q1028 NOSIG =,2026-05-17 06:05:00
